PORT_NAME;COUNTRY;LATITUDE;LONGITUDE
BELIZE CITY;BZ;17,5;-88,183333
CAMPECHE;MX;19,85;-90,55
FRONTERA;MX;18,533333;-92,65
NANCHITAL;MX;18,066667;-94,416667
MAGDALLA;IN;21,15;72,75
HAZIRA;IN;21,083333;72,633333
BEPPU;JP;33,316667;131,516667
KOKURA KO;JP;33,883333;130,883333
SHIMONOSEKI;JP;33,933333;130,933333
RATNAGIRI;IN;16,983333;73,283333
TRIVANDRUM;IN;8,483333;76,95
SHIMMINATO;JP;36,766667;137,116667
GUAYAQUIL;EC;-2,2;-79,883333
MONTOIR;FR;47,3;-2,133333
VITINO;RU;67,083333;32,316667
TABARKA;TN;36,966667;8,766667
ABU KHAMMASH;LY;33,066667;11,816667
RAS AL MISHAB;SA;28,116667;48,633333
RAS AL KHAFJI;SA;28,433333;48,583333
ISLAS HORMIGAS;ES;37,65;-0,65
LAS HORMIGAS;ES;41,866667;3,183333
FORT WILLIAM;GB;56,816667;-5,116667
GLENSANDA;GB;56,566667;-5,533333
LOCHALINE;GB;56,55;-5,766667
LAGOS;PT;37,1;-8,616667
KHALIFA BIN SALMAN;BH;26,25;50,75
SUIZHANG GANG;CN;40,066667;121,05
BODRUM;TR;37,033333;27,433333
LAMU;KE;-2,266667;40,9
GWANGYANG HANG;KR;34,85;127,8
ISHIKARI BAY NEW PORT;JP;43,216667;141,283333
